                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.30047,                0.19615,                0.81902,                0.96903,                0.85556,                0.92414,                0.77868,                0.73195,                0.56608,                 1.0494,             0.00042756,             0.00042756,             0.00042756
                    113,                0.29397,                0.19306,                0.81122,                0.96918,                 0.8526,                0.92444,                0.77775,                0.73383,                0.56165,                 1.0494,              0.0004199,              0.0004199,              0.0004199
                    114,                0.29298,                0.19571,                 0.8111,                0.97108,                0.85143,                0.92572,                0.78021,                0.73708,                 0.5615,                 1.0512,             0.00041225,             0.00041225,             0.00041225
                    115,                0.29223,                0.19276,                0.81747,                0.96607,                0.85807,                0.92614,                0.78074,                0.73414,                0.54737,                 1.0488,             0.00040462,             0.00040462,             0.00040462
                    116,                0.28887,                0.19163,                0.80969,                0.97245,                0.85102,                 0.9261,                0.78192,                0.73234,                0.55015,                 1.0476,             0.00039702,             0.00039702,             0.00039702
                    117,                0.29838,                0.19294,                0.80849,                0.96695,                0.85084,                0.92676,                0.78265,                0.73113,                0.55772,                 1.0455,             0.00038944,             0.00038944,             0.00038944
                    118,                0.28881,                0.18892,                0.80515,                0.96699,                0.85011,                0.92761,                0.78298,                0.73179,                 0.5631,                 1.0461,              0.0003819,              0.0003819,              0.0003819
                    119,                0.28118,                0.18764,                0.80261,                0.96622,                0.85308,                 0.9278,                0.78343,                 0.7321,                0.56498,                 1.0468,             0.00037438,             0.00037438,             0.00037438
                    120,                0.29043,                0.18982,                 0.8205,                0.96872,                0.85442,                0.92863,                0.78522,                0.73111,                0.56217,                 1.0463,              0.0003669,              0.0003669,              0.0003669
                    121,                0.28563,                0.18838,                0.80543,                0.96536,                0.85199,                0.92705,                0.78306,                0.73083,                0.56053,                 1.0453,             0.00035945,             0.00035945,             0.00035945
                    122,                0.28183,                 0.1841,                0.80974,                0.96834,                0.85159,                0.92667,                0.78113,                0.73243,                0.54158,                 1.0476,             0.00035204,             0.00035204,             0.00035204
                    123,                0.28741,                0.18709,                0.80571,                0.96212,                 0.8524,                0.92544,                0.78111,                0.73251,                0.54892,                 1.0481,             0.00034466,             0.00034466,             0.00034466
                    124,                0.27392,                0.18211,                0.80493,                0.96066,                0.85576,                0.92719,                0.78248,                0.73272,                0.54734,                 1.0462,             0.00033732,             0.00033732,             0.00033732
                    125,                  0.279,                0.18634,                0.80843,                0.96056,                0.85807,                0.92814,                0.78297,                0.73346,                0.54901,                 1.0464,             0.00033003,             0.00033003,             0.00033003
                    126,                0.27688,                0.18163,                 0.8136,                0.96439,                0.85496,                0.92766,                0.78276,                0.73214,                0.54714,                 1.0454,             0.00032278,             0.00032278,             0.00032278
                    127,                0.27525,                0.18157,                0.80389,                0.96889,                0.85508,                0.92898,                0.78358,                0.73259,                0.54221,                 1.0452,             0.00031557,             0.00031557,             0.00031557
                    128,                0.28144,                0.18695,                0.81046,                0.97023,                0.85409,                0.92826,                0.78268,                0.73039,                0.53474,                 1.0442,             0.00030841,             0.00030841,             0.00030841
                    129,                 0.2804,                0.18468,                0.81068,                0.97286,                0.85309,                0.92875,                0.78358,                0.72924,                0.52594,                 1.0443,              0.0003013,              0.0003013,              0.0003013
                    130,                0.27701,                0.18283,                0.80863,                0.96898,                0.85423,                 0.9285,                0.78408,                 0.7279,                0.52713,                 1.0429,             0.00029424,             0.00029424,             0.00029424
                    131,                0.26662,                0.17986,                0.80377,                 0.9658,                0.85648,                0.92889,                0.78473,                0.72839,                0.52234,                 1.0427,             0.00028723,             0.00028723,             0.00028723
                    132,                0.27312,                0.17661,                0.80631,                0.96522,                0.85533,                0.92903,                0.78479,                0.72883,                0.52504,                 1.0429,             0.00028027,             0.00028027,             0.00028027
                    133,                0.26901,                0.17868,                0.80252,                0.96683,                0.85492,                0.92988,                0.78548,                0.72718,                0.52498,                 1.0429,             0.00027337,             0.00027337,             0.00027337
                    134,                0.27096,                0.17463,                0.80359,                0.96839,                0.85301,                0.92916,                0.78535,                0.72778,                0.52909,                 1.0446,             0.00026653,             0.00026653,             0.00026653
                    135,                0.27786,                0.18073,                0.80326,                 0.9649,                0.85421,                0.92792,                0.78416,                0.72691,                0.53165,                 1.0449,             0.00025975,             0.00025975,             0.00025975
                    136,                0.28017,                0.18125,                 0.8036,                0.96463,                0.85409,                0.92817,                 0.7848,                0.72612,                0.53316,                 1.0455,             0.00025302,             0.00025302,             0.00025302
                    137,                0.26586,                0.17568,                0.80447,                0.96512,                0.85283,                 0.9281,                0.78437,                  0.727,                0.53443,                 1.0469,             0.00024636,             0.00024636,             0.00024636
                    138,                0.27008,                0.17527,                0.80225,                0.96556,                0.85027,                0.92745,                 0.7837,                0.72693,                0.53585,                 1.0473,             0.00023977,             0.00023977,             0.00023977
                    139,                0.26369,                0.17757,                0.80461,                0.96774,                0.85017,                0.92759,                0.78343,                0.72616,                0.53571,                 1.0473,             0.00023323,             0.00023323,             0.00023323
                    140,                0.26303,                0.17497,                0.80262,                0.96897,                0.84614,                0.92703,                0.78319,                0.72532,                0.53917,                 1.0467,             0.00022677,             0.00022677,             0.00022677
                    141,                0.26808,                0.17468,                0.81023,                0.96873,                0.84701,                0.92753,                0.78345,                0.72459,                0.54299,                 1.0463,             0.00022037,             0.00022037,             0.00022037
                    142,                 0.2616,                0.17489,                0.80259,                0.96798,                0.84915,                0.92699,                0.78398,                0.72412,                0.54311,                 1.0459,             0.00021405,             0.00021405,             0.00021405
                    143,                0.26765,                0.17872,                0.80539,                0.96646,                0.85061,                0.92712,                0.78301,                0.72432,                 0.5416,                 1.0458,             0.00020779,             0.00020779,             0.00020779
                    144,                0.26599,                0.17319,                0.80016,                0.96785,                 0.8516,                0.92793,                0.78393,                0.72408,                0.54212,                 1.0457,             0.00020161,             0.00020161,             0.00020161
                    145,                0.26214,                 0.1718,                0.80162,                0.96781,                0.85192,                0.92777,                0.78349,                0.72514,                0.54225,                 1.0472,              0.0001955,              0.0001955,              0.0001955
                    146,                0.26196,                0.17543,                0.80385,                0.96833,                0.85185,                0.92811,                0.78342,                0.72436,                0.53946,                 1.0471,             0.00018948,             0.00018948,             0.00018948
                    147,                0.25917,                0.17078,                0.80335,                0.96714,                0.85111,                0.92718,                0.78259,                0.72453,                0.53829,                 1.0475,             0.00018352,             0.00018352,             0.00018352
                    148,                0.26636,                0.17367,                0.79993,                0.96722,                0.85086,                0.92703,                0.78191,                 0.7244,                0.53621,                 1.0483,             0.00017765,             0.00017765,             0.00017765
                    149,                0.26071,                0.17147,                0.79901,                0.96614,                 0.8511,                0.92651,                0.78209,                0.72332,                0.53611,                 1.0482,             0.00017186,             0.00017186,             0.00017186
                    150,                0.26195,                0.16909,                0.80085,                0.96624,                0.85111,                0.92659,                0.78211,                0.72303,                 0.5366,                 1.0482,             0.00016615,             0.00016615,             0.00016615
                    151,                0.26106,                0.17012,                 0.7994,                0.96664,                0.84986,                0.92617,                0.78178,                 0.7233,                0.53841,                 1.0486,             0.00016052,             0.00016052,             0.00016052
